"RecordedDate","Dem_age","Dem_gender","Dem_edu","Dem_employment","Scale_PSS10_UCLA_3","Scale_PSS10_UCLA_6","BFF_15_1"
"2020-03-30 07:25:30",59,"Female","College degree, bachelor, master","Retired",5,3,5
"2020-03-30 07:59:51",57,"Male","PhD/Doctorate","Retired",3,2,3
"2020-03-30 08:19:41",47,"Female","Some College, short continuing education or equivalent","Full time employed",2,2,2
"2020-03-30 08:21:11",56,"Male","College degree, bachelor, master","Full time employed",3,2,2
"2020-03-30 08:32:41",62,"Female","Some College, short continuing education or equivalent","Full time employed",2,1,6
"2020-03-30 08:34:00",27,"Female","College degree, bachelor, master","Part time employed",3,2,4
"2020-03-30 08:37:49",43,"Female","Some College, short continuing education or equivalent","Full time employed",5,3,5
"2020-03-30 08:39:24",57,"Female","PhD/Doctorate","Retired",3,5,5
"2020-03-30 08:50:34",55,"Female","College degree, bachelor, master","Student",4,2,3
"2020-03-30 08:52:55",29,"Male","College degree, bachelor, master","Full time employed",3,2,4
"2020-03-30 08:55:08",43,"Male","College degree, bachelor, master","Full time employed",1,1,2
"2020-03-30 08:56:22",58,"Female","College degree, bachelor, master","Full time employed",3,1,5
"2020-03-30 08:58:38",48,"Male","PhD/Doctorate","Full time employed",2,1,2
"2020-03-30 08:59:22",46,"Female","College degree, bachelor, master","Full time employed",1,1,1
"2020-03-30 09:01:10",27,"Female","College degree, bachelor, master","Full time employed",5,4,6
"2020-03-30 09:02:15",45,"Female","College degree, bachelor, master","Full time employed",3,2,6
"2020-03-30 09:02:44",26,"Male","PhD/Doctorate","Student",2,2,3
"2020-03-30 09:03:07",39,"Female","College degree, bachelor, master","Full time employed",3,1,2
"2020-03-30 09:04:29",28,"Female","PhD/Doctorate","Full time employed",5,4,5
"2020-03-30 09:15:29",36,"Male","PhD/Doctorate","Full time employed",2,2,3
"2020-03-30 09:22:05",50,"Male","College degree, bachelor, master","Not employed",3,1,5
"2020-03-30 09:23:34",37,"Male","PhD/Doctorate","Full time employed",2,2,5
"2020-03-30 09:23:52",30,"Male","PhD/Doctorate","Student",4,4,5
"2020-03-30 09:25:32",35,"Male","College degree, bachelor, master","Student",2,1,5
"2020-03-30 09:34:09",25,"Female","College degree, bachelor, master","Student",5,2,2
"2020-03-30 09:36:01",42,"Male","College degree, bachelor, master","Student",3,1,2
"2020-03-30 09:36:04",32,"Female","PhD/Doctorate","Student",3,3,4
"2020-03-30 09:37:10",46,"Female","College degree, bachelor, master","Not employed",4,3,3
"2020-03-30 09:38:10",72,"Female","Up to 12 years of school","Retired",4,3,5
"2020-03-30 09:39:14",22,"Female","Some College, short continuing education or equivalent","Student",1,2,6
"2020-03-30 09:42:09",47,"Male","College degree, bachelor, master","Full time employed",4,4,3
"2020-03-30 09:46:03",45,"Male","Some College, short continuing education or equivalent","Full time employed",4,3,4
"2020-03-30 09:46:07",50,"Male","Up to 12 years of school","Full time employed",3,1,3
"2020-03-30 09:52:49",55,"Female","PhD/Doctorate","Full time employed",3,3,3
"2020-03-30 09:54:35",27,"Male","PhD/Doctorate","Student",4,4,6
"2020-03-30 09:56:14",20,"Female","Some College, short continuing education or equivalent","Student",3,3,2
"2020-03-30 09:56:38",40,"Male","PhD/Doctorate","Full time employed",3,2,6
"2020-03-30 09:58:01",49,"Female","College degree, bachelor, master","Full time employed",5,4,2
"2020-03-30 09:58:24",42,"Female","College degree, bachelor, master","Full time employed",2,1,4
"2020-03-30 10:00:27",35,"Female","Some College, short continuing education or equivalent","Part time employed",3,3,2
"2020-03-30 10:01:26",62,"Female","College degree, bachelor, master","Retired",2,1,3
"2020-03-30 10:01:47",65,"Female","College degree, bachelor, master","Retired",3,1,5
"2020-03-30 10:02:53",44,"Female","PhD/Doctorate","Full time employed",4,3,6
"2020-03-30 10:03:42",25,"Female","College degree, bachelor, master","Self-employed",4,3,4
"2020-03-30 10:04:25",21,"Female","College degree, bachelor, master","Student",5,3,6
"2020-03-30 10:05:29",32,"Male","PhD/Doctorate","Full time employed",2,2,5
"2020-03-30 10:05:39",58,"Female","PhD/Doctorate","Full time employed",3,1,5
"2020-03-30 10:07:47",23,"Female","College degree, bachelor, master","Student",4,3,3
"2020-03-30 10:08:37",23,"Female","Some College, short continuing education or equivalent","Student",2,5,4
"2020-03-30 10:09:36",42,"Male","College degree, bachelor, master","Student",2,2,4
"2020-03-30 10:10:04",32,"Female","PhD/Doctorate","Full time employed",4,5,6
"2020-03-30 10:19:08",30,"Female","College degree, bachelor, master","Self-employed",5,4,6
"2020-03-30 10:19:34",27,"Female","College degree, bachelor, master","Part time employed",3,1,6
"2020-03-30 10:20:39",30,"Male","Some College, short continuing education or equivalent","Self-employed",3,1,4
"2020-03-30 10:26:21",35,"Male","PhD/Doctorate","Full time employed",2,2,4
"2020-03-30 10:27:53",46,"Male","College degree, bachelor, master","Self-employed",5,3,5
"2020-03-30 10:28:14",29,"Female","PhD/Doctorate","Student",4,4,4
"2020-03-30 10:29:32",29,"Female","PhD/Doctorate","Full time employed",3,2,4
"2020-03-30 10:33:41",27,"Male","College degree, bachelor, master","Full time employed",3,2,4
"2020-03-30 10:33:53",32,"Male","College degree, bachelor, master","Full time employed",4,1,3
"2020-03-30 10:34:21",62,"Female","College degree, bachelor, master","Full time employed",5,4,4
"2020-03-30 10:37:34",37,"Female","PhD/Doctorate","Full time employed",3,4,4
"2020-03-30 10:39:01",69,"Female","College degree, bachelor, master","Retired",3,1,5
"2020-03-30 10:39:47",25,"Female","College degree, bachelor, master","Full time employed",5,1,3
"2020-03-30 10:40:17",23,"Female","Some College, short continuing education or equivalent","Self-employed",5,3,6
"2020-03-30 10:45:52",40,"Female","PhD/Doctorate","Full time employed",3,2,5
"2020-03-30 10:45:54",51,"Male","PhD/Doctorate","Full time employed",3,1,4
"2020-03-30 10:45:59",40,"Male","PhD/Doctorate","Full time employed",3,2,5
"2020-03-30 10:47:52",48,"Female","College degree, bachelor, master","Not employed",4,3,4
"2020-03-30 10:48:01",33,"Female","PhD/Doctorate","Student",4,4,5
"2020-03-30 10:51:30",34,"Male","College degree, bachelor, master","Full time employed",5,2,5
"2020-03-30 10:52:07",29,"Female","PhD/Doctorate","Full time employed",4,3,4
"2020-03-30 10:55:46",44,"Female","Some College, short continuing education or equivalent","Full time employed",4,4,6
"2020-03-30 10:55:57",67,"Male","College degree, bachelor, master","Retired",2,1,3
"2020-03-30 10:56:07",28,"Male","College degree, bachelor, master","Not employed",3,3,4
"2020-03-30 11:00:02",22,"Female","College degree, bachelor, master","Student",5,3,4
"2020-03-30 11:00:12",70,"Male","PhD/Doctorate","Retired",3,2,5
"2020-03-30 11:01:05",57,"Male","College degree, bachelor, master","Part time employed",2,2,4
"2020-03-30 11:02:18",31,"Male","College degree, bachelor, master","Self-employed",3,2,3
"2020-03-30 11:06:12",37,"Male","PhD/Doctorate","Full time employed",2,2,4
"2020-03-30 11:07:05",35,"Female","College degree, bachelor, master","Full time employed",5,4,3
"2020-03-30 11:07:17",38,"Female","Some College, short continuing education or equivalent","Full time employed",4,1,5
"2020-03-30 11:07:52",23,"Female","PhD/Doctorate","Student",3,2,5
"2020-03-30 11:08:36",32,"Male","PhD/Doctorate","Student",3,2,6
"2020-03-30 11:10:31",33,"Female","PhD/Doctorate","Full time employed",3,3,4
"2020-03-30 11:12:23",35,"Male","PhD/Doctorate","Student",3,2,5
"2020-03-30 11:13:53",49,"Male","PhD/Doctorate","Self-employed",4,2,5
"2020-03-30 11:16:11",20,"Female","Some College, short continuing education or equivalent","Student",5,3,6
"2020-03-30 11:16:30",53,"Female","Some College, short continuing education or equivalent","Full time employed",5,1,4
"2020-03-30 11:23:07",65,"Female","College degree, bachelor, master","Not employed",3,5,5
"2020-03-30 11:25:07",25,"Female","College degree, bachelor, master","Full time employed",5,3,5
"2020-03-30 11:30:14",25,"Female","College degree, bachelor, master","Full time employed",5,3,4
"2020-03-30 11:30:29",52,"Female","College degree, bachelor, master","Full time employed",4,4,4
"2020-03-30 11:32:45",21,"Female","Some College, short continuing education or equivalent","Full time employed",4,3,4
"2020-03-30 11:33:26",49,"Female","College degree, bachelor, master","Full time employed",2,1,4
"2020-03-30 11:35:11",36,"Male","PhD/Doctorate","Full time employed",1,2,3
"2020-03-30 11:35:36",34,"Female","PhD/Doctorate","Not employed",2,2,5
"2020-03-30 11:35:46",26,"Female","Some College, short continuing education or equivalent","Self-employed",5,5,5
"2020-03-30 11:35:58",28,"Female","Some College, short continuing education or equivalent","Full time employed",4,2,5
"2020-03-30 11:40:49",39,"Female","Some College, short continuing education or equivalent","Full time employed",3,2,5
"2020-03-30 11:41:49",41,"Female","College degree, bachelor, master","Full time employed",3,1,4
"2020-03-30 11:44:20",21,"Female","Some College, short continuing education or equivalent","Student",5,4,5
"2020-03-30 11:44:53",55,"Male","PhD/Doctorate","Full time employed",4,3,3
"2020-03-30 11:46:25",23,"Male","College degree, bachelor, master","Student",2,1,3
"2020-03-30 11:46:32",32,"Female","PhD/Doctorate","Not employed",5,3,5
"2020-03-30 11:47:36",33,"Female","PhD/Doctorate","Full time employed",3,2,6
"2020-03-30 11:49:23",37,"Female","PhD/Doctorate","Student",2,2,3
"2020-03-30 11:49:56",54,"Female","PhD/Doctorate","Full time employed",3,2,4
"2020-03-30 11:50:36",51,"Female","PhD/Doctorate","Full time employed",4,2,3
"2020-03-30 11:50:42",25,"Female","College degree, bachelor, master","Full time employed",5,4,6
"2020-03-30 11:51:39",20,"Other/would rather not say","Some College, short continuing education or equivalent","Part time employed",5,5,6
"2020-03-30 11:54:24",25,"Female","Some College, short continuing education or equivalent","Student",5,4,6
"2020-03-30 11:54:43",44,"Female","PhD/Doctorate","Full time employed",4,3,4
"2020-03-30 11:56:22",22,"Female","Some College, short continuing education or equivalent","Student",4,3,4
"2020-03-30 11:56:22",23,"Female","Some College, short continuing education or equivalent","Student",5,4,5
"2020-03-30 11:57:46",26,"Female","Some College, short continuing education or equivalent","Student",2,1,4
"2020-03-30 11:58:18",34,"Female","PhD/Doctorate","Student",4,5,5
"2020-03-30 11:58:35",33,"Male","PhD/Doctorate","Full time employed",2,3,4
"2020-03-30 12:01:42",51,"Female","College degree, bachelor, master","Full time employed",3,1,6
"2020-03-30 12:04:19",47,"Female","College degree, bachelor, master","Full time employed",4,4,1
"2020-03-30 12:04:29",22,"Female","Some College, short continuing education or equivalent","Not employed",4,3,6
"2020-03-30 12:13:24",35,"Male","None","Not employed",3,3,3
"2020-03-30 12:13:47",32,"Female","PhD/Doctorate","Not employed",2,2,3
"2020-03-30 12:18:11",35,"Male","PhD/Doctorate","Full time employed",2,1,1
"2020-03-30 12:18:25",39,"Female","College degree, bachelor, master","Full time employed",2,2,2
"2020-03-30 12:29:19",27,"Female","College degree, bachelor, master","Student",5,5,6
"2020-03-30 12:31:11",55,"Male","College degree, bachelor, master","Part time employed",3,3,3
"2020-03-30 12:42:40",74,"Female","PhD/Doctorate","Self-employed",2,1,1
"2020-03-30 12:49:54",42,"Female","College degree, bachelor, master","Full time employed",4,3,4
"2020-03-30 12:51:22",52,"Male","College degree, bachelor, master","Self-employed",3,3,3
"2020-03-30 12:54:20",18,"Female","Up to 12 years of school","Part time employed",4,2,4
"2020-03-30 12:54:34",39,"Male","PhD/Doctorate","Full time employed",3,4,4
"2020-03-30 12:56:04",71,"Female","College degree, bachelor, master","Retired",5,3,4
"2020-03-30 12:56:05",18,"Female","Some College, short continuing education or equivalent","Part time employed",4,4,6
"2020-03-30 12:57:22",49,"Male","College degree, bachelor, master","Full time employed",2,2,4
"2020-03-30 13:01:33",28,"Male","College degree, bachelor, master","Student",3,3,5
"2020-03-30 13:05:45",26,"Female","PhD/Doctorate","Student",5,5,5
"2020-03-30 13:07:12",21,"Female","College degree, bachelor, master","Student",3,3,4
"2020-03-30 13:07:38",27,"Female","College degree, bachelor, master","Self-employed",4,4,5
"2020-03-30 13:07:44",62,"Male","College degree, bachelor, master","Full time employed",2,2,3
"2020-03-30 13:10:32",29,"Male","PhD/Doctorate","Student",5,3,5
"2020-03-30 13:11:20",22,"Female","Some College, short continuing education or equivalent","Part time employed",4,4,6
"2020-03-30 13:13:30",51,"Female","College degree, bachelor, master","Full time employed",3,2,5
"2020-03-30 13:14:00",45,"Female","College degree, bachelor, master","Full time employed",3,2,2
"2020-03-30 13:26:43",35,"Male","PhD/Doctorate","Full time employed",2,3,4
"2020-03-30 13:26:52",20,"Male","Some College, short continuing education or equivalent","Not employed",5,4,5
"2020-03-30 13:27:51",47,"Female","College degree, bachelor, master","Full time employed",4,3,2
"2020-03-30 13:28:03",32,"Female","PhD/Doctorate","Full time employed",4,2,4
"2020-03-30 13:34:13",61,"Male","PhD/Doctorate","Retired",3,1,1
"2020-03-30 13:37:44",30,"Female","PhD/Doctorate","Student",4,4,6
"2020-03-30 13:38:40",24,"Female","Some College, short continuing education or equivalent","Student",4,3,4
"2020-03-30 13:41:42",51,"Male","College degree, bachelor, master","Full time employed",4,2,5
"2020-03-30 13:44:23",48,"Male","College degree, bachelor, master","Full time employed",3,2,5
"2020-03-30 13:48:17",77,"Female","Some College, short continuing education or equivalent","Retired",1,1,6
"2020-03-30 13:50:22",51,"Female","PhD/Doctorate","Full time employed",3,3,5
"2020-03-30 13:54:21",39,"Female","PhD/Doctorate","Not employed",1,3,5
"2020-03-30 14:03:38",25,"Female","PhD/Doctorate","Student",3,2,4
"2020-03-30 14:07:49",62,"Female","Some College, short continuing education or equivalent","Retired",4,4,4
"2020-03-30 14:10:20",25,"Female","College degree, bachelor, master","Student",4,2,6
"2020-03-30 14:14:54",58,"Female","College degree, bachelor, master","Full time employed",2,2,3
"2020-03-30 14:18:24",61,"Female","College degree, bachelor, master","Retired",3,3,6
"2020-03-30 14:20:55",22,"Female","College degree, bachelor, master","Full time employed",3,3,5
"2020-03-30 14:23:37",75,"Female","College degree, bachelor, master","Retired",3,1,5
"2020-03-30 14:23:54",43,"Female","College degree, bachelor, master","Full time employed",5,5,6
"2020-03-30 14:26:16",30,"Female","College degree, bachelor, master","Full time employed",2,2,1
"2020-03-30 14:29:42",47,"Male","PhD/Doctorate","Full time employed",2,5,6
"2020-03-30 14:29:59",42,"Female","PhD/Doctorate","Student",4,3,5
"2020-03-30 14:33:04",57,"Female","College degree, bachelor, master","Self-employed",5,4,4
"2020-03-30 14:33:15",29,"Female","PhD/Doctorate","Full time employed",4,3,6
"2020-03-30 14:38:29",37,"Female","College degree, bachelor, master","Full time employed",2,3,4
"2020-03-30 14:39:43",49,"Female","Some College, short continuing education or equivalent","Full time employed",3,2,5
"2020-03-30 14:42:38",34,"Female","College degree, bachelor, master","Full time employed",4,3,2
"2020-03-30 14:43:15",48,"Female","College degree, bachelor, master","Full time employed",3,1,4
"2020-03-30 14:46:09",31,"Male","PhD/Doctorate","Full time employed",3,1,6
"2020-03-30 14:48:10",30,"Male","PhD/Doctorate","Student",1,1,4
"2020-03-30 14:52:50",32,"Female","College degree, bachelor, master","Full time employed",4,2,4
"2020-03-30 14:52:57",32,"Female","PhD/Doctorate","Full time employed",5,3,5
"2020-03-30 14:53:25",34,"Male","PhD/Doctorate","Student",4,4,6
"2020-03-30 14:56:32",40,"Female","College degree, bachelor, master","Full time employed",3,2,2
"2020-03-30 15:01:17",38,"Male","PhD/Doctorate","Full time employed",2,2,4
"2020-03-30 15:02:12",66,"Female","College degree, bachelor, master","Retired",3,2,4
"2020-03-30 15:03:40",62,"Female","College degree, bachelor, master","Retired",3,3,3
"2020-03-30 15:04:32",53,"Female","College degree, bachelor, master","Full time employed",4,3,5
"2020-03-30 15:07:15",21,"Female","Some College, short continuing education or equivalent","Full time employed",4,4,5
"2020-03-30 15:08:02",41,"Female","College degree, bachelor, master","Full time employed",3,2,3
"2020-03-30 15:11:57",44,"Female","Up to 12 years of school","Full time employed",3,2,4
"2020-03-30 15:12:16",25,"Male","College degree, bachelor, master","Part time employed",2,2,3
"2020-03-30 15:15:01",28,"Female","College degree, bachelor, master","Full time employed",3,1,2
"2020-03-30 15:16:43",59,"Female","College degree, bachelor, master","Full time employed",3,2,5
"2020-03-30 15:23:01",38,"Male","PhD/Doctorate","Student",1,2,4
"2020-03-30 15:24:13",42,"Female","Some College, short continuing education or equivalent","Full time employed",4,3,4
"2020-03-30 15:33:41",62,"Female","College degree, bachelor, master","Full time employed",2,3,2
"2020-03-30 15:44:59",57,"Female","Some College, short continuing education or equivalent","Full time employed",4,2,5
"2020-03-30 15:49:45",29,"Female","PhD/Doctorate","Full time employed",4,2,5
"2020-03-30 15:53:00",50,"Male","Some College, short continuing education or equivalent","Full time employed",3,1,4
"2020-03-30 16:05:19",63,"Female","College degree, bachelor, master","Full time employed",3,2,5
"2020-03-30 16:10:25",42,"Female","College degree, bachelor, master","Not employed",4,1,2
"2020-03-30 16:12:31",39,"Female","Some College, short continuing education or equivalent","Self-employed",4,3,6
"2020-03-30 16:14:08",22,"Other/would rather not say","College degree, bachelor, master","Part time employed",3,1,5
"2020-03-30 16:15:16",52,"Female","Some College, short continuing education or equivalent","Part time employed",4,3,5
